sig_id,peak_current,peak_potential,peak_AUC,peak_FWHM,concentration
0,34.861237254648046,-0.37767999999999996,2.8574973462762565,0.082198,100
1,34.12262812170419,-0.382515,2.8588675535801773,0.082198,100
2,33.95261692814342,-0.382515,2.7888076310688454,0.07736299999999996,100
3,22.31097024867136,-0.382515,1.5273140273901833,0.062857,50
4,23.119320141909743,-0.382515,1.600880797945126,0.062857,50
5,22.95643620158574,-0.38734999999999997,1.5506860727618528,0.062857,50
6,11.245643883295568,-0.38734999999999997,0.7054929904435377,0.05802200000000002,25
7,11.251055417927875,-0.38734999999999997,0.701417119468733,0.05802200000000002,25
8,11.3011317746846,-0.38734999999999997,0.7035075335035192,0.05802200000000002,25
9,6.161388252892196,-0.38734999999999997,0.3908829489697811,0.053186999999999984,15
10,6.164627180174868,-0.38734999999999997,0.389032469669764,0.05802200000000002,15
11,5.984225949446327,-0.38734999999999997,0.3757838321503155,0.053186999999999984,15
12,3.988604841172708,-0.38734999999999997,0.2496623510729602,0.053186999999999984,10
13,4.141879193904132,-0.392185,0.26039233411259854,0.05802199999999996,10
14,4.002185772384525,-0.38734999999999997,0.25594166118393585,0.053186999999999984,10
15,2.7660930883561896,-0.39702,0.18107859741064378,0.05802199999999996,7.5
16,2.924602554441386,-0.392185,0.1914113543236553,0.05802199999999996,7.5
17,2.5564196330504916,-0.392185,0.16563524669641336,0.05802199999999996,7.5
18,1.7886365934398483,-0.392185,0.11580882108482736,0.05802200000000002,5
19,1.6643049528523786,-0.39702,0.10748122887026625,0.05802199999999996,5
20,1.6198559956551255,-0.39702,0.10685989783365639,0.05802200000000002,5
21,0.7837485393028911,-0.39702,0.051723523316505815,0.062857,2.5
22,0.7406332650594649,-0.39702,0.04862850246827792,0.05802199999999996,2.5
23,0.2741503525959147,-0.392185,0.017592340616847637,0.062857,1
24,0.2645277514399433,-0.39702,0.01717969083434204,0.062857,1
25,0.266372404630094,-0.39702,0.01708090755192239,0.062857,1
26,0.12470989964268893,-0.392185,0.007877394825169652,0.053186999999999984,0.5
27,0.13220774137020277,-0.39702,0.00804036233606552,0.053186999999999984,0.5
28,0.11989827880065085,-0.392185,0.007595142887518743,0.05802199999999996,0.5
29,0.12707586375248325,-0.363174,0.00789367946064127,0.05802199999999996,0.5
30,0.1287595381291766,-0.363174,0.007696123267466463,0.05802199999999996,0.5
31,0.13149420863191463,-0.363174,0.008038214803230536,0.05802200000000002,0.5
32,0.06634533480719994,-0.35833899999999996,0.003858998168495477,0.053186999999999984,0.25
33,0.06148797328552057,-0.353504,0.003470234454496242,0.053186999999999984,0.25
34,0.07188474770072596,-0.353504,0.004122845592772431,0.053186999999999984,0.25
35,0.022858076594142587,-0.353504,0.001073387576209021,0.053186999999999984,0.1
36,0.01673011727767674,-0.353504,0.0007562266809116219,0.038681999999999994,0.1
37,0.01859353881416743,-0.348669,0.0010025390374471615,0.05802200000000002,0.1
38,0.021344914408328083,-0.35833899999999996,0.0009654907897130178,0.048352000000000006,0.1
39,0.01678684331056439,-0.372844,0.0008678365281203356,0.05802200000000002,0.1
