sig_id,peak_current,peak_potential,peak_AUC,peak_FWHM,pca1_comp,first_derivative_max,second_derivative_min,concentration
0,34.861237254648046,-0.37767999999999996,2.8574973462762565,0.082198,370.79441867891705,689.8926826738457,-34998.326307007024,100
1,34.12262812170419,-0.382515,2.8588675535801773,0.082198,368.44537326256955,650.8205893136783,-33117.99093184472,100
2,33.95261692814342,-0.382515,2.7888076310688454,0.07736299999999996,360.76467574925505,690.71613289265,-34510.09607109333,100
3,22.31097024867136,-0.382515,1.5273140273901833,0.062857,208.47329628065302,434.6043322777948,-33991.92708707023,50
4,23.119320141909743,-0.382515,1.600880797945126,0.062857,218.63800876999093,466.42237003067385,-30639.845669842758,50
5,22.95643620158574,-0.38734999999999997,1.5506860727618528,0.062857,213.04300335584014,489.41595633311545,-34488.89440993783,50
6,11.245643883295568,-0.38734999999999997,0.7054929904435377,0.05802200000000002,103.7253245105322,225.358762063393,-21843.64354099874,25
7,11.251055417927875,-0.38734999999999997,0.701417119468733,0.05802200000000002,104.45228956153892,220.14802865259844,-22777.09012978465,25
8,11.3011317746846,-0.38734999999999997,0.7035075335035192,0.05802200000000002,103.34972107425884,224.96091170041393,-22213.975197730222,25
9,6.161388252892196,-0.38734999999999997,0.3908829489697811,0.053186999999999984,64.00763463948408,140.16631296587036,-12307.126212590389,15
10,6.164627180174868,-0.38734999999999997,0.389032469669764,0.05802200000000002,61.794742482703704,137.37685797935893,-11849.019071817598,15
11,5.984225949446327,-0.38734999999999997,0.3757838321503155,0.053186999999999984,60.8512914125823,138.25764486623842,-11510.801685776734,15
12,3.988604841172708,-0.38734999999999997,0.2496623510729602,0.053186999999999984,45.641742535959374,93.15687703405001,-8125.998184834534,10
13,4.141879193904132,-0.392185,0.26039233411259854,0.05802199999999996,50.852807646617684,98.00780338602945,-8223.048013580905,10
14,4.002185772384525,-0.38734999999999997,0.25594166118393585,0.053186999999999984,46.81278544661611,93.99340202260859,-7652.387441329262,10
15,2.7660930883561896,-0.39702,0.18107859741064378,0.05802199999999996,38.067831152549196,71.67777075916734,-4340.589437423548,7.5
16,2.924602554441386,-0.392185,0.1914113543236553,0.05802199999999996,41.35134920691199,74.14322689050351,-5088.171713119515,7.5
17,2.5564196330504916,-0.392185,0.16563524669641336,0.05802199999999996,37.935236389182094,62.257765465340526,-4752.177895218745,7.5
18,1.7886365934398483,-0.392185,0.11580882108482736,0.05802200000000002,34.168104098967305,45.308125501291215,-2926.3947037072253,5
19,1.6643049528523786,-0.39702,0.10748122887026625,0.05802199999999996,37.10127482614916,40.89017106443228,-3176.8714521579186,5
20,1.6198559956551255,-0.39702,0.10685989783365639,0.05802200000000002,31.790037245388465,40.17132681920714,-3066.159603425587,5
21,0.7837485393028911,-0.39702,0.051723523316505815,0.062857,30.035333413121098,19.810414862380924,-1332.9333721929677,2.5
22,0.7406332650594649,-0.39702,0.04862850246827792,0.05802199999999996,28.408641929013974,19.145234461050855,-1295.7324971249059,2.5
23,0.2741503525959147,-0.392185,0.017592340616847637,0.062857,35.94859987390183,7.459308528474031,-475.89670511970223,1
24,0.2645277514399433,-0.39702,0.01717969083434204,0.062857,29.97527321662063,7.545865339460553,-404.12038427637094,1
25,0.266372404630094,-0.39702,0.01708090755192239,0.062857,31.788374122857793,7.504587987361212,-454.9216965717977,1
26,0.12470989964268893,-0.392185,0.007877394825169652,0.053186999999999984,30.006468215230903,3.77288988275175,-266.0301083557889,0.5
27,0.13220774137020277,-0.39702,0.00804036233606552,0.053186999999999984,28.327396048702987,4.142957410015349,-264.73948548113015,0.5
28,0.11989827880065085,-0.392185,0.007595142887518743,0.05802199999999996,29.14281939703333,3.588498323158551,-180.42854261873242,0.5
29,0.12707586375248325,-0.363174,0.00789367946064127,0.05802199999999996,4.061951831681494,4.7121283130481135,-344.4295594262594,0.5
30,0.1287595381291766,-0.363174,0.007696123267466463,0.05802199999999996,12.131039961885735,3.25802124850578,-223.04876693682638,0.5
31,0.13149420863191463,-0.363174,0.008038214803230536,0.05802200000000002,10.643363105272266,4.018224509734381,-317.7687087683153,0.5
32,0.06634533480719994,-0.35833899999999996,0.003858998168495477,0.053186999999999984,10.711624377070917,2.415782555283836,-140.06380024125588,0.25
33,0.06148797328552057,-0.353504,0.003470234454496242,0.053186999999999984,10.030770223449624,2.0193674876165453,-143.3805608326825,0.25
34,0.07188474770072596,-0.353504,0.004122845592772431,0.053186999999999984,8.661423068110752,2.173921368591853,-169.35106922030465,0.25
35,0.022858076594142587,-0.353504,0.001073387576209021,0.053186999999999984,9.781629372222836,1.0302725106306747,-107.72942676169116,0.1
36,0.01673011727767674,-0.353504,0.0007562266809116219,0.038681999999999994,10.684477230826593,0.683998884391729,-88.44197707279184,0.1
37,0.01859353881416743,-0.348669,0.0010025390374471615,0.05802200000000002,4.087740446888277,1.3007328817935437,-169.21102072250432,0.1
38,0.021344914408328083,-0.35833899999999996,0.0009654907897130178,0.048352000000000006,8.87204901600281,0.9147919725884238,-71.1919246344665,0.1
39,0.01678684331056439,-0.372844,0.0008678365281203356,0.05802200000000002,11.172375720136692,0.8190896463345124,-81.21293627208574,0.1
